souid,lat_dec,lon_dec,time,value
2472,59.307217,11.125844,2017-06-07T1210,0.2
2473,58.8881,5.608788,2017-06-07T1210,0
2482,59.130303,10.401215,2017-06-07T1210,0.1
2487,59.210544,9.578784,2017-06-07T1210,0.3
2492,63.438202,10.602956,2017-06-07T1210,0
2496,58.70033,5.565922,2017-06-07T1210,0.1
2498,59.447693,5.393587,2017-06-07T1210,0.1
2510,60.379779,5.15724,2017-06-07T1210,0
2511,59.094559,5.775664,2017-06-07T1210,0
2518,60.385543,5.297339,2017-06-07T1210,0
2524,59.829319,10.687807,2017-06-07T1210,0
2529,59.132148,10.232331,2017-06-07T1210,0.1
2544,59.669375,10.531463,2017-06-07T1210,0.1
2550,60.806559,11.130564,2017-06-07T1210,0
2558,60.051902,5.507971,2017-06-07T1210,0.2
2559,62.229061,6.271328,2017-06-07T1210,0
2563,59.886072,10.83677,2017-06-07T1210,0.1
2568,59.408649,10.458273,2017-06-07T1210,0.4
2572,60.288424,5.390795,2017-06-07T1210,0
2581,63.539103,11.856505,2017-06-07T1210,0
2591,58.828365,5.754532,2017-06-07T1210,0
2596,62.342787,5.861387,2017-06-07T1210,0
2608,59.931685,10.765865,2017-06-07T1210,0.1
2611,60.549897,9.139392,2017-06-07T1210,1.21
2619,62.536335,6.576155,2017-06-07T1210,0
2620,59.133708,10.227744,2017-06-07T1210,0.3
2626,63.791043,11.501613,2017-06-07T1210,0
2627,59.912701,10.7461,2017-06-07T1210,0
2628,59.783747,10.447489,2017-06-07T1210,0.1
2629,58.958075,5.62494,2017-06-07T1210,0
2631,59.793612,5.186949,2017-06-07T1210,0.1
2632,59.950001,10.75,2017-06-07T1210,0
2635,59.709191,10.826917,2017-06-07T1210,0.2
2642,63.013957,7.968353,2017-06-07T1210,0
2649,60.701228,8.999775,2017-06-07T1210,0.4
2655,68.218102,14.482403,2017-06-07T1210,0
2661,59.755187,10.835975,2017-06-07T1210,0.1
2669,62.185349,6.14109,2017-06-07T1210,0
2672,63.432821,10.603686,2017-06-07T1210,0
2674,59.030885,6.033999,2017-06-07T1210,0
2683,59.40085,9.20743,2017-06-07T1210,0
2684,59.967511,10.643688,2017-06-07T1210,0.3
2685,58.272336,8.503182,2017-06-07T1210,0
2700,58.959179,5.700101,2017-06-07T1210,0
2701,59.266771,11.146598,2017-06-07T1210,0.1
2708,59.961701,10.654199,2017-06-07T1210,0.1
2715,68.035055,16.016344,2017-06-07T1210,0
2725,62.589439,9.661994,2017-06-07T1210,0
2732,62.265511,10.771697,2017-06-07T1210,0
2740,58.659471,5.65628,2017-06-07T1210,0
2742,59.748761,10.298653,2017-06-07T1210,0.1
2771,59.504529,5.58177,2017-06-07T1210,0
2772,59.9116,10.7484,2017-06-07T1210,0.2
2773,59.942723,11.016087,2017-06-07T1210,0
2776,59.872993,10.51292,2017-06-07T1210,0.1
2780,59.502453,10.074073,2017-06-07T1210,0.71
2785,65.074112,11.95433,2017-06-07T1210,0
2788,58.17156,8.083307,2017-06-07T1210,0.2
2795,63.398507,10.336124,2017-06-07T1210,0
2801,58.72927,5.646288,2017-06-07T1210,0
2807,59.278995,10.458274,2017-06-07T1210,0.3
2811,59.900131,10.56559,2017-06-07T1210,0.1
2812,58.553739,7.773406,2017-06-07T1210,0.4
2820,60.705319,10.811301,2017-06-07T1210,0
2821,58.476077,8.794615,2017-06-07T1210,0
2822,59.595943,5.586562,2017-06-07T1210,0.1
2845,59.94847,10.69992,2017-06-07T1210,0.2
2848,58.930738,5.745663,2017-06-07T1210,0.1
2876,59.593832,11.334721,2017-06-07T1210,0.2
2882,63.417812,10.497063,2017-06-07T1210,0
2895,59.979986,11.027801,2017-06-07T1210,0
2897,60.86569,11.567633,2017-06-07T1210,0
2899,61.051267,7.548921,2017-06-07T1210,0
2910,58.167589,8.161129,2017-06-07T1210,0
2915,60.629562,6.422151,2017-06-07T1210,0
2918,59.762563,10.854221,2017-06-07T1210,0.1
2921,64.856172,11.611196,2017-06-07T1210,0
2925,59.936547,10.660678,2017-06-07T1210,0.3
2928,60.540453,5.061167,2017-06-07T1210,0
2932,59.819775,11.493205,2017-06-07T1210,0
2934,59.413581,5.267987,2017-06-07T1210,0.1
